flu,0-99,Influenza is a viral infection that attacks your respiratory system - your nose throat and lungs. Influenza is commonly called the flu but it's not the same as stomach "flu" viruses that cause diarrhea and vomiting.,fever:muscle ache:chills:sweats:headache:dry cough:tiredness:sore throat:eye pain:vomiting,See a doctor.

covid-19,0-99,Coronaviruses are a type of virus. There are many different kinds and some cause disease. A coronavirus identified in 2019 SARS-CoV-2 has caused a pandemic of respiratory illness called COVID-19.,coughing:fever:sore throat:diarrhea:headache:nausea:congestion,See a doctor.

diabetes,0-99,Diabetes is a chronic (long-lasting) health condition that affects how your body turns food into energy.,urinate often:very thirsty:blurry vision:numb hands:dry skin:sores,See a doctor.

chickenpox,0-99,Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy blister-like rash.,fever:headache:loss of appetite,See a doctor.

hiv,0-99,HIV (human immunodeficiency virus) is a virus that attacks the body's immune system.,fever:chills:rash:night sweats:muscle ache:sore throat:mouth ulcers:swollen lymph nodes,See a doctor.

malaria,0-99,Malaria is a serious and sometimes fatal disease caused by a parasite that commonly infects a certain type of mosquito which feeds on humans.,fever:vomiting:rapid heart rate:diarrhea:headache:chills,See a doctor

pneumonia,0-99,Pneumonia is an infection that inflames your lungs' air sacs (alveoli),loss of appetite:chest pain:low energy:confusion:fever,See a doctor

measles,0-99,Measles is a highly contagious infectious disease caused by measles virus. Symptoms usually develop 10-12 days after exposure to an infected person and last 7-10 days.,inflamed eyes:sore throat:dry cough:fever:white spots:rash,See a doctor

tetanus,0-99,Tetanus is an infection caused by bacteria called Clostridium tetani.,jaw cramps:muscle spasms:fever:sweating,See a doctor.

tuberculosis,0-99,Tuberculosis (TB) is a potentially serious infectious disease that mainly affects the lungs. The bacteria that cause tuberculosis are spread from person to person through tiny droplets released into the air via coughs and sneezes.,fever:chills:night sweats:loss of appetite:weight loss,See a doctor.

disease 1,34-64,Bad disease,fever:sweating:high cold,Take a pill
